Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.070944	0	0	0	LastDelay	0.070944	70944	1	1
0.070944	0	0	0	FullDelay	0.070944	70944	1	1
0.0796168	1	0	0	LastDelay	0.0796168	79616.8	1	1
0.0796168	1	0	0	FullDelay	0.0796168	79616.8	1	1
0.0882888	1	0	1	LastDelay	0.0782888	78288.8	1	1
0.0882888	1	0	1	FullDelay	0.0782888	78288.8	1	1
0.096952	0	0	1	LastDelay	0.076952	76952	1	1
0.096952	0	0	1	FullDelay	0.076952	76952	1	1
0.105625	1	0	2	LastDelay	0.0856248	85624.8	1	1
0.105625	1	0	2	FullDelay	0.0856248	85624.8	1	1
0.114297	1	0	3	LastDelay	0.0842968	84296.8	1	1
0.114297	1	0	3	FullDelay	0.0842968	84296.8	1	1
0.12296	0	0	2	LastDelay	0.08296	82960	1	1
0.12296	0	0	2	FullDelay	0.08296	82960	1	1
0.131633	1	0	4	LastDelay	0.0916328	91632.8	1	1
0.131633	1	0	4	FullDelay	0.0916328	91632.8	1	1
0.140305	1	0	5	LastDelay	0.0903048	90304.8	1	1
0.140305	1	0	5	FullDelay	0.0903048	90304.8	1	1
0.148968	0	0	3	LastDelay	0.088968	88968	1	1
0.148968	0	0	3	FullDelay	0.088968	88968	1	1
0.157641	1	0	6	LastDelay	0.0976408	97640.8	1	1
0.157641	1	0	6	FullDelay	0.0976408	97640.8	1	1
0.166313	1	0	7	LastDelay	0.0963128	96312.8	1	1
0.166313	1	0	7	FullDelay	0.0963128	96312.8	1	1
0.174976	0	0	4	LastDelay	0.094976	94976	1	1
0.174976	0	0	4	FullDelay	0.094976	94976	1	1
0.183649	1	0	8	LastDelay	0.103649	103649	1	1
0.183649	1	0	8	FullDelay	0.103649	103649	1	1
0.192321	1	0	9	LastDelay	0.102321	102321	1	1
0.192321	1	0	9	FullDelay	0.102321	102321	1	1
0.200984	0	0	5	LastDelay	0.100984	100984	1	1
0.200984	0	0	5	FullDelay	0.100984	100984	1	1
0.209657	1	0	10	LastDelay	0.109657	109657	1	1
0.209657	1	0	10	FullDelay	0.109657	109657	1	1
0.218329	1	0	11	LastDelay	0.108329	108329	1	1
0.218329	1	0	11	FullDelay	0.108329	108329	1	1
0.227001	1	0	12	LastDelay	0.107001	107001	1	1
0.227001	1	0	12	FullDelay	0.107001	107001	1	1
0.235664	0	0	6	LastDelay	0.115664	115664	1	1
0.235664	0	0	6	FullDelay	0.115664	115664	1	1
0.244337	1	0	13	LastDelay	0.114337	114337	1	1
0.244337	1	0	13	FullDelay	0.114337	114337	1	1
0.253	0	0	7	LastDelay	0.113	113000	1	1
0.253	0	0	7	FullDelay	0.113	113000	1	1
0.261673	1	0	14	LastDelay	0.121673	121673	1	1
0.261673	1	0	14	FullDelay	0.121673	121673	1	1
0.270345	1	0	15	LastDelay	0.120345	120345	1	1
0.270345	1	0	15	FullDelay	0.120345	120345	1	1
0.279008	0	0	8	LastDelay	0.119008	119008	1	1
0.279008	0	0	8	FullDelay	0.119008	119008	1	1
0.287681	1	0	16	LastDelay	0.127681	127681	1	1
0.287681	1	0	16	FullDelay	0.127681	127681	1	1
0.296353	1	0	17	LastDelay	0.126353	126353	1	1
0.296353	1	0	17	FullDelay	0.126353	126353	1	1
0.305016	0	0	9	LastDelay	0.125016	125016	1	1
0.305016	0	0	9	FullDelay	0.125016	125016	1	1
0.313689	1	0	18	LastDelay	0.133689	133689	1	1
0.313689	1	0	18	FullDelay	0.133689	133689	1	1
0.322361	1	0	19	LastDelay	0.132361	132361	1	1
0.322361	1	0	19	FullDelay	0.132361	132361	1	1
0.331024	0	0	10	LastDelay	0.131024	131024	1	1
0.331024	0	0	10	FullDelay	0.131024	131024	1	1
0.339697	1	0	20	LastDelay	0.139697	139697	1	1
0.339697	1	0	20	FullDelay	0.139697	139697	1	1
0.348369	1	0	21	LastDelay	0.138369	138369	1	1
0.348369	1	0	21	FullDelay	0.138369	138369	1	1
0.357032	0	0	11	LastDelay	0.137032	137032	1	1
0.357032	0	0	11	FullDelay	0.137032	137032	1	1
0.365705	1	0	22	LastDelay	0.145705	145705	1	1
0.365705	1	0	22	FullDelay	0.145705	145705	1	1
0.374377	1	0	23	LastDelay	0.144377	144377	1	1
0.374377	1	0	23	FullDelay	0.144377	144377	1	1
0.383049	1	0	24	LastDelay	0.143049	143049	1	1
0.383049	1	0	24	FullDelay	0.143049	143049	1	1
0.391712	0	0	12	LastDelay	0.151712	151712	1	1
0.391712	0	0	12	FullDelay	0.151712	151712	1	1
0.400385	1	0	25	LastDelay	0.150385	150385	1	1
0.400385	1	0	25	FullDelay	0.150385	150385	1	1
0.409048	0	0	13	LastDelay	0.149048	149048	1	1
0.409048	0	0	13	FullDelay	0.149048	149048	1	1
0.417721	1	0	26	LastDelay	0.157721	157721	1	1
0.417721	1	0	26	FullDelay	0.157721	157721	1	1
0.426393	1	0	27	LastDelay	0.156393	156393	1	1
0.426393	1	0	27	FullDelay	0.156393	156393	1	1
0.435056	0	0	14	LastDelay	0.155056	155056	1	1
0.435056	0	0	14	FullDelay	0.155056	155056	1	1
0.443729	1	0	28	LastDelay	0.163729	163729	1	1
0.443729	1	0	28	FullDelay	0.163729	163729	1	1
0.452401	1	0	29	LastDelay	0.162401	162401	1	1
0.452401	1	0	29	FullDelay	0.162401	162401	1	1
0.461064	0	0	15	LastDelay	0.161064	161064	1	1
0.461064	0	0	15	FullDelay	0.161064	161064	1	1
0.469737	1	0	30	LastDelay	0.169737	169737	1	1
0.469737	1	0	30	FullDelay	0.169737	169737	1	1
0.478409	1	0	31	LastDelay	0.168409	168409	1	1
0.478409	1	0	31	FullDelay	0.168409	168409	1	1
0.487072	0	0	16	LastDelay	0.167072	167072	1	1
0.487072	0	0	16	FullDelay	0.167072	167072	1	1
0.495745	1	0	32	LastDelay	0.175745	175745	1	1
0.495745	1	0	32	FullDelay	0.175745	175745	1	1
0.504417	1	0	33	LastDelay	0.174417	174417	1	1
0.504417	1	0	33	FullDelay	0.174417	174417	1	1
0.51308	0	0	17	LastDelay	0.17308	173080	1	1
0.51308	0	0	17	FullDelay	0.17308	173080	1	1
0.521753	1	0	34	LastDelay	0.181753	181753	1	1
0.521753	1	0	34	FullDelay	0.181753	181753	1	1
0.530425	1	0	35	LastDelay	0.180425	180425	1	1
0.530425	1	0	35	FullDelay	0.180425	180425	1	1
0.539088	0	0	18	LastDelay	0.179088	179088	1	1
0.539088	0	0	18	FullDelay	0.179088	179088	1	1
0.547761	1	0	36	LastDelay	0.187761	187761	1	1
0.547761	1	0	36	FullDelay	0.187761	187761	1	1
0.556433	1	0	37	LastDelay	0.186433	186433	1	1
0.556433	1	0	37	FullDelay	0.186433	186433	1	1
0.565096	0	0	19	LastDelay	0.185096	185096	1	1
0.565096	0	0	19	FullDelay	0.185096	185096	1	1
0.573809	1	0	38	LastDelay	0.193809	193809	1	1
0.573809	1	0	38	FullDelay	0.193809	193809	1	1
0.582481	1	0	39	LastDelay	0.192481	192481	1	1
0.582481	1	0	39	FullDelay	0.192481	192481	1	1
0.591144	0	0	20	LastDelay	0.191144	191144	1	1
