Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	1	internal://	InInterests	0	0	0	0
1	0	1	internal://	OutInterests	0	0	0	0
1	0	1	internal://	InData	0	0	0	0
1	0	1	internal://	OutData	0	0	0	0
1	0	1	internal://	InNacks	0	0	0	0
1	0	1	internal://	OutNacks	0	0	0	0
1	0	1	internal://	InSatisfiedInterests	0	0	0	0
1	0	1	internal://	InTimedOutInterests	0	0	0	0
1	0	1	internal://	OutSatisfiedInterests	0.8	0	1	0
1	0	1	internal://	OutTimedOutInterests	0	0	0	0
1	0	2	internal://	InInterests	0	0	0	0
1	0	2	internal://	OutInterests	0	0	0	0
1	0	2	internal://	InData	0	0	0	0
1	0	2	internal://	OutData	0	0	0	0
1	0	2	internal://	InNacks	0	0	0	0
1	0	2	internal://	OutNacks	0	0	0	0
1	0	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	0	2	internal://	InTimedOutInterests	0	0	0	0
1	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1	0	2	internal://	OutTimedOutInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutInterests	39.2	1.57656	49	1.9707
1	0	257	netdev://[00:00:00:00:00:01]	InData	31.2	32.3883	39	40.4854
1	0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	31.2	0	39	0
1	0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	0	258	appFace://	InInterests	39.2	1.57656	49	1.9707
1	0	258	appFace://	OutInterests	0	0	0	0
1	0	258	appFace://	InData	0	0	0	0
1	0	258	appFace://	OutData	31.2	32.3883	39	40.4854
1	0	258	appFace://	InNacks	0	0	0	0
1	0	258	appFace://	OutNacks	0	0	0	0
1	0	258	appFace://	InSatisfiedInterests	31.2	0	39	0
1	0	258	appFace://	InTimedOutInterests	0	0	0	0
1	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	0	258	appFace://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	32	0	40	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1	1	1	internal://	InInterests	0	0	0	0
1	1	1	internal://	OutInterests	0	0	0	0
1	1	1	internal://	InData	0	0	0	0
1	1	1	internal://	OutData	0	0	0	0
1	1	1	internal://	InNacks	0	0	0	0
1	1	1	internal://	OutNacks	0	0	0	0
1	1	1	internal://	InSatisfiedInterests	0	0	0	0
1	1	1	internal://	InTimedOutInterests	0	0	0	0
1	1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	1	1	internal://	OutTimedOutInterests	0	0	0	0
1	1	2	internal://	InInterests	0	0	0	0
1	1	2	internal://	OutInterests	0	0	0	0
1	1	2	internal://	InData	0	0	0	0
1	1	2	internal://	OutData	0	0	0	0
1	1	2	internal://	InNacks	0	0	0	0
1	1	2	internal://	OutNacks	0	0	0	0
1	1	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	1	2	internal://	InTimedOutInterests	0	0	0	0
1	1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	1	2	internal://	OutTimedOutInterests	0	0	0	0
1	1	256	internal://	InInterests	0	0	0	0
1	1	256	internal://	OutInterests	0	0	0	0
1	1	256	internal://	InData	0	0	0	0
1	1	256	internal://	OutData	0	0	0	0
1	1	256	internal://	InNacks	0	0	0	0
1	1	256	internal://	OutNacks	0	0	0	0
1	1	256	internal://	InSatisfiedInterests	0.8	0	1	0
1	1	256	internal://	InTimedOutInterests	0	0	0	0
1	1	256	internal://	OutSatisfiedInterests	0	0	0	0
1	1	256	internal://	OutTimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutInterests	79.2	3.2625	99	4.07812
1	1	257	netdev://[00:00:00:00:00:03]	InData	55.2	57.3563	69	71.6953
1	1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
1	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	55.2	0	69	0
1	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
1	1	258	appFace://	InInterests	79.2	3.2625	99	4.07812
1	1	258	appFace://	OutInterests	0	0	0	0
1	1	258	appFace://	InData	0	0	0	0
1	1	258	appFace://	OutData	55.2	57.3563	69	71.6953
1	1	258	appFace://	InNacks	0	0	0	0
1	1	258	appFace://	OutNacks	0	0	0	0
1	1	258	appFace://	InSatisfiedInterests	55.2	0	69	0
1	1	258	appFace://	InTimedOutInterests	0	0	0	0
1	1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	1	-1	all	SatisfiedInterests	56.8	0	71	0
1	1	-1	all	TimedOutInterests	0	0	0	0
